Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
fairy,"['tiên', 'nàng tiên', 'khá', 'bà tiên', 'cánh tiên', 'hư cấu', 'người đồng dâm nam', 'ngọc nữ', 'tiên nga', 'tưởng tượng', 'uyển chuyển như tiên', 'xinh đẹp như tiên', 'Tiên Nữ', 'thần tiên']"
predecessor,"['người tiền nhiệm', 'bậc tiền bối', 'tổ tiên', 'người phụ trách trước', 'người đi trước', 'người đảm nhiệm trước', 'tiền nhân', 'ông cha']"
forerunner,['người báo trước']
grape fairy,['cannot found']
fairies,['cannot found']
God,"['Thiên Chúa', 'Chúa', 'Trời', 'Chúa trời', 'chúa', 'các vị thần', 'thánh', 'thần', 'đức Chúa', 'Chúa Trời', 'Thượng Đế', 'thượng đế']"
Pioneers,['cannot found']
core pioneer,['cannot found']
vanguard,"['tiên phong', 'quân tiên phong', 'những người tiên phong', 'tiền đội', 'người đi tiên phong']"
Prerequisite,"['tiên quyết', 'cần trước hết', 'điều cần trước hết', 'điều kiện', 'điều kiện tiên quyết']"
Sir,"['ngài', 'thưa ông', 'ông', 'bẩm', 'tiên sinh!', 'gọi bằng ngài', 'gọi bằng tiên sinh', 'gọi bằng ông', 'hoàng thượng', 'thưa thủ trưởng', 'đức', 'anh']"
common fairy,['cannot found']
advanced,"['tiên tiến', 'cao', 'cấp cao', 'tiến bộ', 'trình độ cao', 'cấp tiến', 'tân tiến']"
ancestor,"['tổ tiên', '祖先', 'ông bà', 'ông vãi', 'ông vải', 'ông tổ']"
prophesy,"['tiên tri', 'tiên đoán', 'đoán trước']"
prophets,['cannot found']
fairy,"['tiên', 'nàng tiên', 'khá', 'bà tiên', 'cánh tiên', 'hư cấu', 'người đồng dâm nam', 'ngọc nữ', 'tiên nga', 'tưởng tượng', 'uyển chuyển như tiên', 'xinh đẹp như tiên', 'Tiên Nữ', 'thần tiên']"
fairy king,['cannot found']
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
criminal record,['cannot found']
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
seniors,['cannot found']
premise,"['tiền đề', 'vườn tược', 'giả thuyết', 'nhà cửa', 'những cái kể trên', 'sinh cơ', 'tài sản kể trên', 'đặt thành tiền đề']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
predestined,"['thiên định', 'tiền định']"
striker,"['người bãi công', 'tiền đạo', 'búa chuông', 'cái bật lửa', 'người phụ thợ rèn', 'người đình công']"
premise,"['tiền đề', 'vườn tược', 'giả thuyết', 'nhà cửa', 'những cái kể trên', 'sinh cơ', 'tài sản kể trên', 'đặt thành tiền đề']"
predestination,"['số phận', 'sự tiền định', 'vận mệnh', 'định mạng', 'định mệnh']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
outpost,"['tiền đồn', 'đồn tiền tiêu']"
road money,['cannot found']
cockroach money,['cannot found']
inconsistent precedent,['cannot found']
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
past life,['cannot found']
pence,"['số tiền', 'đồng xu', 'đồng xu penni']"
precedent,"['trước', 'lệ trước', 'tiền lệ', 'lề', 'Tiền lệ pháp', 'tieàn leä, tröôùc', 'tiền lệ pháp', 'đứng trước']"
salary,"['lương', 'tiền lương', 'lương bổng', 'trả lương', 'bổng', 'đồng lương', 'luống', 'Tiền lương', 'lương tháng', 'tieàn löông, traû löông, phaùt löông', 'tiền công']"
cash,"['tiền mặt', 'tiền', 'lĩnh tiền mặt', 'trả tiền mặt', 'hiện kim', 'ngân', 'tieàn maët']"
money now,['cannot found']
ancestor,"['tổ tiên', '祖先', 'ông bà', 'ông vãi', 'ông vải', 'ông tổ']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
water money,['cannot found']
money unjust karmic,['cannot found']
vanguard,"['tiên phong', 'quân tiên phong', 'những người tiên phong', 'tiền đội', 'người đi tiên phong']"
precious money,['cannot found']
pre-birth,['cannot found']
prehistoric,"['thời tiền sử', 'tiền sử', 'tiền s']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
currency,"['tiền tệ', 'ngoại tệ', 'ngoại hối', 'hệ thống tiền tệ', 'tiền', 'sự lưu hành', 'sự phổ biến', 'sự thịnh hành', 'thời gian lưu hành', 'đồng tiền']"
precursor,"['người báo trước', 'người phụ trách trước', 'người đảm nhiệm trước', 'người đến báo trước', 'tiền thân', 'điềm báo trước']"
money,"['tiền', 'đồng', 'tiền bạc', 'ngân', 'tiền tệ', 'bạc', 'tiền nong', 'của cải', 'hơi đồng', 'những món tiền', 'theo ý tôi', 'tiền của', 'tiền tài', 'tài sản', 'đồng tiền', 'kim', 'tieàn', '金']"
advance,"['tiến', 'trả trước', 'tạm ứng', 'tăng', 'chức', 'lời tán tỉnh', 'tiến về', 'bước tiến', 'cho vay', 'làm cho tiến bộ', 'làm tiến mau', 'sự làm thân', 'sự sớm pha', 'sự theo đuổi', 'sự thăng', 'sự tiến bộ', 'sự tiến lên', 'sự tiến tới', 'sự tăng giá', 'sự đề bạt', 'thúc đẩy', 'thăng chức', 'tiến bộ', 'tiến lên', 'tiến tới', 'tiền cho vay', 'tiền trả trước', 'tiền đặt trước', 'tăng lên', 'đưa lên', 'đưa ra', 'đưa ra phía trước', 'đặt trước', 'đề bạt', 'đề xuất', 'thăng', 'làm trước', 'phát triển']"
money to spend,['cannot found']
prefix,"['tiền tố', 'làm tiền t', 'thêm vào đầu', 'từ chỉ chức tước', 'từ chỉ danh hiệu', 'từ chỉ tước', 'đặt ở hàng trước']"
outpost,"['tiền đồn', 'đồn tiền tiêu']"
pre-philosophy,['cannot found']
pre-process,['cannot found']
frontline,['cannot found']
midfielder,"['Tiền vệ', 'tiền vệ']"
goodbye,"['tạm biệt', 'lời chào tạm biệt', 'chào', 'chào tạm biệt', 'lời chào từ biệt', 'xin chào', 'vĩnh biệt']"
farewell,"['chia tay', 'lời chúc tạm biệt', 'lời tam biệt', 'tam biệt', 'lời chào tạm biệt', 'tạm biệt']"
farewell,"['chia tay', 'lời chúc tạm biệt', 'lời tam biệt', 'tam biệt', 'lời chào tạm biệt', 'tạm biệt']"
farewell,"['chia tay', 'lời chúc tạm biệt', 'lời tam biệt', 'tam biệt', 'lời chào tạm biệt', 'tạm biệt']"
farewell,"['chia tay', 'lời chúc tạm biệt', 'lời tam biệt', 'tam biệt', 'lời chào tạm biệt', 'tạm biệt']"
up,['cannot found']
improvement,['cannot found']
attack,['cannot found']
advance tribute,['cannot found']
recommend,['cannot found']
progress,['cannot found']
conduct,['cannot found']
evolution,"['tiến hóa', '進化', 'sự tiến hoá', 'sự tiến triển', 'sự khai căn', 'sự mở ra', 'sự nở ra', 'sự phát ra', 'sự phát triển', 'sự quay lượn', 'sự tiến hóa']"
March,"['tháng ba', '三月', 'Tháng ba', 'tháng Ba', 'hành quân', 'cuộc hành quân', 'cuộc tuần hành', 'March tháng ba', 'biên giới biên thuỳ', 'bước đều', 'bắt đi', 'bờ cõi', 'giáp giới', 'khúc quân hành', 'quân ca', 'sự tiến triển', 'sự trôi đi', 'tháng ba', 'tuần hành', 'đưa đi', 'ở sát bờ cõi', 'ở tiếp biên giới', 'Hành khúc', 'cuộc diễu hành', 'thaùng ba']"
doctor,"['bác sĩ', 'tiến sĩ', 'bác sĩ y khoa', 'thầy thuốc', 'bác', 'y', 'bác sỹ', 'chữa', 'tiến sỹ', 'đốc', 'thiến', 'hoạn', 'bộ phận điều chỉnh', 'cho uống thuốc', 'chấp vá', 'chữa bệnh cho', 'giả mạo', 'làm bác sĩ y khoa', 'làm giả', 'nhà học giả', 'nhà thông thái', 'ruồi già', 'sửa chữa', 'tống thuốc vào', 'chữa bệnh']"
advance,"['tiến', 'trả trước', 'tạm ứng', 'tăng', 'chức', 'lời tán tỉnh', 'tiến về', 'bước tiến', 'cho vay', 'làm cho tiến bộ', 'làm tiến mau', 'sự làm thân', 'sự sớm pha', 'sự theo đuổi', 'sự thăng', 'sự tiến bộ', 'sự tiến lên', 'sự tiến tới', 'sự tăng giá', 'sự đề bạt', 'thúc đẩy', 'thăng chức', 'tiến bộ', 'tiến lên', 'tiến tới', 'tiền cho vay', 'tiền trả trước', 'tiền đặt trước', 'tăng lên', 'đưa lên', 'đưa ra', 'đưa ra phía trước', 'đặt trước', 'đề bạt', 'đề xuất', 'thăng', 'làm trước', 'phát triển']"
recession,"['chỗ lõm vào', 'chỗ thụt vào', 'suy thoái kinh tế', 'sự lùi lại', 'sự lùi vào', 'sự rút đi', 'sự thụt lại', 'sự thụt vào', 'Suy thoái kinh tế', 'sự suy thoái', 'tình trạng suy thoái']"
dilemma,"['song đề', 'tình thế khó xử', 'tình trạng khó xử', 'thế tiến thoái lưỡng nan', 'lưỡng đề đilem']"
for progress,['cannot found']
advance,"['tiến', 'trả trước', 'tạm ứng', 'tăng', 'chức', 'lời tán tỉnh', 'tiến về', 'bước tiến', 'cho vay', 'làm cho tiến bộ', 'làm tiến mau', 'sự làm thân', 'sự sớm pha', 'sự theo đuổi', 'sự thăng', 'sự tiến bộ', 'sự tiến lên', 'sự tiến tới', 'sự tăng giá', 'sự đề bạt', 'thúc đẩy', 'thăng chức', 'tiến bộ', 'tiến lên', 'tiến tới', 'tiền cho vay', 'tiền trả trước', 'tiền đặt trước', 'tăng lên', 'đưa lên', 'đưa ra', 'đưa ra phía trước', 'đặt trước', 'đề bạt', 'đề xuất', 'thăng', 'làm trước', 'phát triển']"
process,"['quá trình', 'qui trình', 'quy trình', 'kiện', 'trình tự', 'mỏm', 'chế biến', 'chế biến gia công', 'cách thức', 'diễu hành', 'gia công', 'in ximili', 'phép in ảnh chấm', 'phương pháp', 'sao chế', 'sự tiến hành', 'sự tiến triển', 'tiến trình', 'trát đòi', 'việc tố tụng', 'đi thành đoàn', 'đi thành đám rước', 'Tiến trình']"
convenient,"['tiện lợi', 'thuận tiện', 'tiện', 'thuận lợi', 'dễ chịu', 'thích hợp', 'dễ', 'dễ dàng']"
convenient,"['tiện lợi', 'thuận tiện', 'tiện', 'thuận lợi', 'dễ chịu', 'thích hợp', 'dễ', 'dễ dàng']"
convenient,"['tiện lợi', 'thuận tiện', 'tiện', 'thuận lợi', 'dễ chịu', 'thích hợp', 'dễ', 'dễ dàng']"
convenient,"['tiện lợi', 'thuận tiện', 'tiện', 'thuận lợi', 'dễ chịu', 'thích hợp', 'dễ', 'dễ dàng']"
domestic convenience,['cannot found']
female convenience,['cannot found']
by way,['cannot found']
convenient card,['cannot found']
language,"['ngôn ngữ', 'tiếng', 'tiếng nói', 'thuật ngữ', 'biệt ngữ', 'từ vựng', 'ngôn ngữ máy tính', 'lời ăn tiếng nói', 'ngữ ngôn', 'ngôn', 'cách ăn nói', 'ngữ', 'cách diễn đạt', 'lời nói', 'ngôn từ', 'ngữ văn 語文']"
echo,"['tiếng vang', 'tiếng dội', 'vọng', 'dội lại', 'lặp lại', 'vang lại', 'vang', 'bóng', 'âm hưởng', 'âm vang', 'nhái', 'cho đồng bọn', 'có tiếng dội', 'dư âm', 'hưởng ứng', 'lặp lại lời', 'lặp lại ý kiến', 'nội động từ', 'sóng dội', 'thể thơ liên hoàn', 'tiếng dội/vọng', 'trình bày', 'tín hiệu phản xạ', 'âm thanh nổi', 'Echo', 'Tiếng vang', 'tiếng vọng']"
evil voice,['cannot found']
rumor,"['rumour', 'lời đồn', 'lời đồn đoán', 'tin đồn']"
sound,"['âm thanh', 'âm', 'tiếng', 'khôn', 'đúng đắn', '音', 'lành mạnh', 'thăm dò', 'tráng kiện', '音聲', 'vẻ', 'giọng', 'kêu', 'dò', 'ngon', 'có cơ sở', 'khoẻ mạnh', 'lành lặn', 'tiếng động', 'yên giấc', 'thanh', 'Nghe có vẻ như', 'chắc chắn', 'có căn cứ', 'vững', 'thổi', 'vần', 'báo', 'đánh', 'bóp', 'đọc', 'hụ', 'sâu', 'lôgic', 'bong bóng cá', 'báo hiệu', 'bóp còi', 'cái thông', 'dò bằng ống thông', 'eo biển', 'gõ để kiểm tra', 'gõ để nghe bệnh', 'hợp lý', 'không giập thối', 'không hỏng', 'khỏe mạnh', 'kêu vang', 'làm cho kêu', 'lặn xuống đáy', 'nghe có vẻ', 'nghe như', 'ngon lành', 'nên thân', 'ra trò', 'thẳng giấc', 'vang tiếng', 'vững chãi', 'đến nơi đến chốn', 'ấn tượng', 'lời', 'hợp lí', 'đầy đủ']"
chirp,"['tiếng kêu chiêm chiếp', 'kêu', 'rúc', 'tiếng chiêm chiếp', 'tiếng líu lo', 'gáy', 'chiêm chiếp', 'chép miệng', 'hót líu lo', 'kêu chiêm chiếp', 'làm cho vui vẻ', 'nói líu lo', 'nói nhỏ nhẻ', 'nói thỏ thẻ', 'tiếng hót líu lo', 'tiếng kêu', 'tiếng nói líu lo', 'tiếng nói nhỏ nhẻ', 'tiếng nói thỏ thẻ', 'tiếng rúc', 'vui vẻ lên']"
slang,"['tiếng lóng', 'rủa', 'chửi', 'mắng', 'từ lóng', 'nói lóng', 'Tiếng lóng', 'tiếng địa phương', 'ẩn ngữ']"
voice,"['giọng nói', 'tiếng nói', 'tiếng', 'giọng', 'nói lên', 'phát thành âm kêu', 'thế lực', 'lời', 'dạng', 'bày tỏ', 'lời nói', 'sự bày tỏ', 'sự phát biểu', 'âm kêu', 'ý kiến', 'thanh', 'hát']"
bang,"['ngủ', 'yêu', 'lên giường', 'nện đau', 'tiếng nổ lớn', 'tiếng sập mạnh', 'vang lên', 'nổ', 'đánh', 'đùng', 'bùm', 'thình', 'dập', 'dộng', 'ầm', 'sầm', 'đấm', 'păng', 'nổ vang', 'sập mạnh', 'thình lình', 'thẳng ngay vào', 'trôi hơn', 'tóc cắt ngang trán', 'vượt hơn', 'đánh mạnh', 'đánh rầm một cái', 'đập mạnh']"
voice that,['cannot found']
Fame,"['danh tiếng', 'tiếng tăm', 'danh', 'danh thơm', 'danh vọng', 'thanh danh', 'tiếng đồn', 'tên tuổi', 'sự nổi tiếng']"
language,"['ngôn ngữ', 'tiếng', 'tiếng nói', 'thuật ngữ', 'biệt ngữ', 'từ vựng', 'ngôn ngữ máy tính', 'lời ăn tiếng nói', 'ngữ ngôn', 'ngôn', 'cách ăn nói', 'ngữ', 'cách diễn đạt', 'lời nói', 'ngôn từ', 'ngữ văn 語文']"
echo,"['tiếng vang', 'tiếng dội', 'vọng', 'dội lại', 'lặp lại', 'vang lại', 'vang', 'bóng', 'âm hưởng', 'âm vang', 'nhái', 'cho đồng bọn', 'có tiếng dội', 'dư âm', 'hưởng ứng', 'lặp lại lời', 'lặp lại ý kiến', 'nội động từ', 'sóng dội', 'thể thơ liên hoàn', 'tiếng dội/vọng', 'trình bày', 'tín hiệu phản xạ', 'âm thanh nổi', 'Echo', 'Tiếng vang', 'tiếng vọng']"
next,"['sau', 'tiếp sau', 'nữa', 'gần', 'bên cạnh', 'sắp tới', 'ngay', 'kế tiếp', 'tới đây', 'sát', 'cái tiếp sau', 'gần bên', 'lần sau', 'ngay bên', 'ngay sau', 'người tiếp sau', 'sát nách', 'tiếp theo', 'tới', 'thứ', 'qua']"
relay,"['tiếp âm', 'Rơle', 'chương trình tiếp âm', 'kíp', 'chạy tiếp sức', 'ca', 'kíp ngựa', 'làm theo kíp', 'rơle //', 'sắp đặt theo kíp', 'đặt rơle', 'rơle']"
approach,"['lại gần', 'đến gần', 'đến', 'lại', 'sự tiếp cận', 'cách tiếp cận', 'lối vào', 'sự gần đúng', 'bắt đầu giải quyết', 'gạ gẫm', 'gần như', 'phép tính gần đúng', 'phép xấp xỉ', 'sự gạ gẫm', 'sự gần giống như', 'sự gần như', 'sự lại gần', 'sự thăm dò ý kiến', 'sự đến gần', 'thăm dò ý kiến', 'tiếp cận', 'tới gần', 'đường đi đến', 'cận']"
engraft,"['ghép vào', 'làm thấm nhuần', 'lồng vào']"
fighting,"['chiến sự', 'chiến đấu', 'cuộc chiến đấu', 'cuộc đánh nhau', 'cuộc đấu tranh', 'sự chiến đấu', 'sự đánh nhau', 'đánh nhau', 'đấu tranh', 'chiến', 'trận ẩu đả']"
talk with,['cannot found']
relay,"['tiếp âm', 'Rơle', 'chương trình tiếp âm', 'kíp', 'chạy tiếp sức', 'ca', 'kíp ngựa', 'làm theo kíp', 'rơle //', 'sắp đặt theo kíp', 'đặt rơle', 'rơle']"
continue,"['tiếp tục', 'tiếp diễn', 'cứ', 'còn', 'giữ', 'duy trì', 'kế tục', 'làm tiếp', 'vẫn cứ', 'ở lại', 'tiếp', 'tục', 'kéo dài']"
face-to-face,['mặt đối mặt']
entertainment,"['giải trí', 'buổi chiêu đãi', 'cuộc giải trí', 'ngành giải trí', 'sự chiêu đãi', 'sự giải trí', 'sự hoan nghênh', 'sự nuôi dưỡng', 'sự tiêu khiển', 'sự tiếp đãi', 'sự tán thành', 'sự vui chơi', 'sự ấp ủ', 'trò vui', 'vui chơi']"
prefix,"['tiền tố', 'làm tiền t', 'thêm vào đầu', 'từ chỉ chức tước', 'từ chỉ danh hiệu', 'từ chỉ tước', 'đặt ở hàng trước']"
Contact composition,['cannot found']
welcome,"['hoan nghênh', 'chào', 'xin chào', 'được tiếp đi ân cần', 'được hoan nghênh', 'chào mừng', 'tiếp đón', 'đón', 'cứ tự nhiên', 'cứ việc', 'sự chào mừng', 'sự chào đón', 'được', 'được chào mừng', 'rước', 'nhiên', 'hay', 'chào đón', 'dễ chịu', 'nghênh tân', 'nghênh đón', 'sự hoan nghênh', 'thú vị', 'về nước', 'đón tiếp', 'đón tiếp ân cần', 'nghênh', 'sự đón tiếp']"
contiguous,"['bên cạnh', 'kề nhau', 'tiếp cận', 'giáp nhau', 'láng giềng', 'lân cận', 'sự mật tiếp', 'tiếp giáp', 'tiếp liên']"
relay,"['tiếp âm', 'Rơle', 'chương trình tiếp âm', 'kíp', 'chạy tiếp sức', 'ca', 'kíp ngựa', 'làm theo kíp', 'rơle //', 'sắp đặt theo kíp', 'đặt rơle', 'rơle']"
reception,"['sự tiếp nhận', 'tiệc chiêu đãi', 'phép thu', 'sự kết nạp', 'sự lĩnh', 'sự nhận', 'sự thu', 'sự thu nhận', 'sự tiếp thu', 'sự đón tiếp', 'tiếp khách', 'tiếp nhận', 'tiếp tân', 'quầy tiếp tân', 'sự tiếp đón', 'phòng lễ tân', 'phòng tiếp tân', 'quầy lễ tân']"
audience,"['khán giả', 'quý vị', 'người xem', 'sự tiếp kiến', 'cử tọa', 'bạn đọc', 'những người nghe', 'sự hội kiến', 'sự nghe', 'sự yết kiến', 'thính giả', 'độc giả', 'khán thính giả']"
consecutively,"['dồn dập', 'liên tiếp']"
supplies,['hàng cung cấp']
blood transfusion,['cannot found']
receive,"['nhận', 'thu', 'lĩnh', 'được', 'chứa chấp', 'tiếp đãi', 'đón', 'kết nạp', 'tiếp nhận', 'tiếp đón', 'tiếp', 'lãnh', 'rước', 'chịu', 'tin', 'bị', 'đỡ', 'nghinh', 'hóng', 'nhập', 'chiêu đãi', 'chứa đựng', 'công nhận là đúng', 'hấp thụ', 'lĩnh lương', 'lĩnh tiền', 'nhận quà', 'oa trữ', 'thu tiền', 'tiếp khách', 'tiếp kiến', 'tiếp thu', 'tiếp tân', 'đón tiếp', 'đãi', 'gắp', 'chào đón', 'nhận được']"
continuation,"['sự mở rộng', 'sự tiếp tục', 'phần mở rộng thêm', 'phần tiếp thêm', 'quần dài', 'sự chấp', 'sự ghép', 'sự kéo dài thêm', 'sự liên tục', 'sự làm tiếp']"
take over,['cannot found']
welcome,"['hoan nghênh', 'chào', 'xin chào', 'được tiếp đi ân cần', 'được hoan nghênh', 'chào mừng', 'tiếp đón', 'đón', 'cứ tự nhiên', 'cứ việc', 'sự chào mừng', 'sự chào đón', 'được', 'được chào mừng', 'rước', 'nhiên', 'hay', 'chào đón', 'dễ chịu', 'nghênh tân', 'nghênh đón', 'sự hoan nghênh', 'thú vị', 'về nước', 'đón tiếp', 'đón tiếp ân cần', 'nghênh', 'sự đón tiếp']"
relay,"['tiếp âm', 'Rơle', 'chương trình tiếp âm', 'kíp', 'chạy tiếp sức', 'ca', 'kíp ngựa', 'làm theo kíp', 'rơle //', 'sắp đặt theo kíp', 'đặt rơle', 'rơle']"
abetting,['cannot found']
Reception,"['sự tiếp nhận', 'tiệc chiêu đãi', 'phép thu', 'sự kết nạp', 'sự lĩnh', 'sự nhận', 'sự thu', 'sự thu nhận', 'sự tiếp thu', 'sự đón tiếp', 'tiếp khách', 'tiếp nhận', 'tiếp tân', 'quầy tiếp tân', 'sự tiếp đón', 'phòng lễ tân', 'phòng tiếp tân', 'quầy lễ tân']"
support,"['ủng hộ', 'đỡ', 'chống', 'cột chống', 'khuyến khích', 'sự ủng hộ', 'truyền sức mạnh', 'vật chống', 'xác minh', 'chịu', 'giá', 'thân', 'choái', 'chõi', 'đế', 'chỗ dựa', 'hưởng ứng', 'bao', 'bênh vực', 'bệ tì', 'chi viện', 'chịu đựng', 'chứng minh', 'cấp dưỡng', 'cột trụ', 'dung thứ', 'hậu thuẫn', 'nguồn sinh sống', 'người nhờ cậy', 'người ủng hộ', 'nuôi nấng', 'nâng đỡ', 'nơi nương tựa', 'phù hộ', 'yểm hộ', 'yểm trợ', 'dưỡng', 'trì', 'phù', 'trụ', 'Giá', 'chu cấp', 'hỗ trợ', 'xác nhận']"
next,"['sau', 'tiếp sau', 'nữa', 'gần', 'bên cạnh', 'sắp tới', 'ngay', 'kế tiếp', 'tới đây', 'sát', 'cái tiếp sau', 'gần bên', 'lần sau', 'ngay bên', 'ngay sau', 'người tiếp sau', 'sát nách', 'tiếp theo', 'tới', 'thứ', 'qua']"
receptive,"['dễ tiếp thu', 'dễ lĩnh hội']"
receptive,"['dễ tiếp thu', 'dễ lĩnh hội']"
testicles,"['hòn dái', 'tinh hoàn']"
continue,"['tiếp tục', 'tiếp diễn', 'cứ', 'còn', 'giữ', 'duy trì', 'kế tục', 'làm tiếp', 'vẫn cứ', 'ở lại', 'tiếp', 'tục', 'kéo dài']"
tangent,"['tang', 'tiếp tuyến', 'tiếp xúc', 'đường tiếp tuyến']"
response,"['phản ứng', 'sự trả lời', 'responsory', 'sự hưởng ứng', 'sự phản ứng lại', 'sự đáp lại', 'đáp lại', 'câu trả lời', 'sự phản ứng']"
suffix suffix,['cannot found']
reinforcements,['hậu viện']
contact,"['sự tiếp xúc', 'liên hệ', 'chạm', 'cho tiếp với', 'cho tiếp xúc với', 'cơ hội gặp gỡ', 'cơ hội làm quen', 'liên lạc', 'mối quen', 'người liên hệ', 'người liên lạc', 'người quen', 'sự chạm', 'sự giao dịch', 'sự giao thiệp', 'sự gặp gỡ', 'sự lui tới', 'sự mật tiếp', 'sự đi lại', 'tiếp xúc', 'tiếp điểm', 'đầu mối liên lạc', 'người', 'Liên hệ', 'chỗ tiếp xúc', 'sự liên hệ', 'sự liên lạc']"
newspaper,"['báo', 'tờ báo', 'báo viết', 'báo chí', 'nhật báo']"
period,"['thời kỳ', 'giai đoạn', 'kỳ', 'chu kỳ', 'kỷ', 'thời gian', 'khoảng', 'kì', 'chấm', 'buổi', 'cơn', 'hành kinh', 'kinh nguyệt', 'tiết', 'đại', 'dạo', 'hồi', 'thuở', 'cữ', 'chầu', 'chấm câu', 'câu nhiều đoạn', 'dấu chấm câu', 'kỳ hành kinh', 'thời hạn', 'thời nay', 'quãng', 'thì', 'Chu kỳ tuần hoàn', 'dấu chấm', 'khoảng cách', 'khoảng trống', 'quãng cách', 'quãng trống']"
pudding,"['bánh putđinh', 'bả chó', 'dồi lợn', 'mặt phèn phẹt', 'Bánh pudding', 'bánh puđinh', 'món tráng miệng']"
moderate,"['vừa phải', 'bớt đi', 'có mức độ', 'dịu đi', 'không quá khích', 'làm bớt đi', 'làm cho ôn hoà', 'làm dịu', 'làm giảm nhẹ', 'người ôn hoà', 'nhẹ đi', 'phải chăng', 'tiết chế', 'từ tốn', 'ôn hoà', 'ôn hòa', 'điều độ', 'đúng mức', 'chừng mực', 'đúng mực', 'dịu bớt']"
section,"['phần', 'đoạn', 'tiết diện', 'mục', 'khúc', 'khu vực', 'cắt', 'múi', 'quãng', 'ban', 'bộ môn', 'khoản', 'thiên', 'bài mục', 'chia ra từng phần', 'chỗ cắt', 'lát cắt', 'mặt cắt', 'phân ban', 'phân chi', 'phân cục', 'phân đội', 'phần cắt ra', 'sự cắt', 'tiết đoạn', 'tiểu đội', 'tầng lớp', 'tầng lớp nhân dân', 'đoạn cắt ra', 'tiết', 'bộ', 'chương', 'nhánh', 'tổ', '章', 'bộ phận']"
abstinence,"['sự kiêng khem', 'kiêng cữ', 'sự kiêng', 'sự kiêng rượu', 'sự nhịn ăn', 'sự tiết chế', 'sự ăn chay']"
porcelain temper,['cannot found']
virtuous,"['hiền', 'chính chuyên', 'có đạo đức', 'có đức', 'tiết hạnh', 'trinh bạch', 'đoan chính', 'có đạo đức tốt', 'thiện', 'đức hạnh', 'đức tính tốt', 'trinh']"
appropriate,"['chiếm đoạt', 'thích đáng', 'thích hợp', 'chiếm', 'bao chiếm', 'chiếm hữu', 'dành riêng', 'sang đoạt', 'sát hợp', 'ăn không', 'đút túi', 'phù hợp']"
save,"['cứu nguy', 'tiết kiệm', 'để dành', 'cứu', 'dành', 'bảo lưu', 'giải thoát', 'lưu', 'kịp', 'nhín', 'cứu vớt', 'dành dụm', 'giải cứu', 'phá bóng cứu nguy', 'tránh khỏi phải', 'tằn tiện', 'tế độ', 'đuổi kịp', 'đỡ khỏi phải', 'tránh', 'bớt', '省', 'tỉnh', 'cứu rỗi', 'ghi lại (ý kiến)', 'ghi lại - ghi lại ý kiến', 'ngoài ra', 'trừ ra']"
unlock,"['mở khóa', 'mở', 'mở khoá', 'tiết lộ', 'để lộ']"
disclosure,"['sự mở ra', 'sự vạch trần ra', 'sự để lộ ra', 'sự phơi bày', 'sự tiết lộ', 'sự vạch trần']"
secretive,"['bí mật', 'hay giấu giếm', 'hay giữ kẽ', 'kín đáo', 'thích giữ bí mật', 'âm thầm', 'ẩn', 'ẩn giấu', 'ẩn khuất']"
repertoire,['cannot found']
verbatim,"['đúng', 'nguyên văn', 'đúng nguyên văn', 'đúng từ chữ một', 'ñuùng nguyeân vaên, ñuùng töøng chöõ moät']"
